feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_045162_01G000400	1	0.0362981017096168	0.0363800339410821	0.00138209374250565	1
TraesCAD_scaffold_011049_01G000300	1	0.0342083076465423	0.0344361276280968	0.00129664150857265	1
TraesCAD_scaffold_035254_01G000400	1	0.0323141533652028	0.0323707790372994	0.00192522283603325	1
TraesCAD_scaffold_127189_01G000100	1	0.0318277344338927	0.0320791184049799	0.00147279796075493	1
TraesCAD_scaffold_015315_01G000200	1	0.0257780911362273	0.0259382877232568	0.00134595449567815	1
TraesCAD_scaffold_020853_01G000100	1	0.0337573052323445	0.0338525323986179	0.00167975416041799	1
TraesCAD_scaffold_022743_01G000100	1	0.0343475999116104	0.0342904313335674	0.00149136568874568	1
TraesCAD_scaffold_031443_01G000200	1	0.0305768353026362	0.0307029293824407	0.00110764064478042	1
TraesCAD_scaffold_329024_01G000100	1	0.0371695206636681	0.0368364705030009	0.00126862656590075	1
TraesCAD_scaffold_014507_01G000400	1	0.034679226722435	0.0346756076074058	0.00129375048249627	1
TraesCAD_scaffold_022764_01G000200	1	0.0364181963523289	0.036230550304484	0.00112965533593555	1
TraesCAD_scaffold_026005_01G000300	1	0.0327402474116133	0.0328963339092105	0.00102971166329782	1
TraesCAD_scaffold_072102_01G000100	1	0.0296593910938579	0.0300111084710552	0.00169129580748519	1
TraesCAD_scaffold_004302_01G000100	1	0.0375089587699067	0.0374689863388039	0.00124363112619864	1
TraesCAD_scaffold_023465_01G000100	1	0.0376860331362547	0.0375467899765339	0.000987447343230751	1
TraesCAD_scaffold_046009_01G000100	1	0.0366143523534719	0.0365141460645988	0.00113544207726632	1
TraesCAD_scaffold_019321_01G000100	1	0.0336506918402647	0.0337711730174691	0.00181369435287661	1
TraesCAD_scaffold_069203_01G000100	1	0.0328928558480945	0.0329957937886028	0.00120860243649344	1
TraesCAD_scaffold_015250_01G000100	1	0.0268032310454465	0.0268698250595428	0.00234030650280294	1
TraesCAD_scaffold_005570_01G000700	1	0.0329696722168591	0.0328651699588209	0.00202035621311855	1
TraesCAD_scaffold_087019_01G000200	1	0.036081629443869	0.0360868629626411	0.00107771414271896	1
TraesCAD_scaffold_003054_01G000400	1	0.0344536155862443	0.0343750381959203	0.00247760413395752	1
TraesCAD_scaffold_070076_01G000100	1	0.0310157981888145	0.0305391335300822	0.00197877238373539	1
TraesCAD_scaffold_043024_01G000500	1	0.0233954838289034	0.0237612936518874	0.00205852847647566	1
TraesCAD_scaffold_098004_01G000100	1	0.0326795257192606	0.0329330934914138	0.00141076196923397	1
TraesCAD_scaffold_064612_01G000100	1	0.0342598300522735	0.034318815236989	0.0017429888080837	1
TraesCAD_scaffold_012922_01G000500	1	0.0370952729397087	0.0369722814964104	0.00098934222351483	1
TraesCAD_scaffold_103514_01G000100	1	0.0351530894932065	0.0351020534453497	0.0010083128186398	1
TraesCAD_scaffold_053630_01G000100	1	0.0322811807162364	0.0324167602505694	0.00199145585674866	1
TraesCAD_scaffold_043032_01G000200	1	0.0346595644440723	0.0342201309479245	0.00180865103023824	1
TraesCAD_scaffold_050961_01G000400	1	0.0369945982263566	0.0368483350941987	0.001094257702979	1
TraesCAD_scaffold_027786_01G000100	1	0.0329123398793437	0.0330580081666392	0.000634106225440633	1
TraesCAD_scaffold_040954_01G000200	1	0.0346035920858846	0.0346352289778305	0.00145104989332767	1
TraesCAD_scaffold_069982_01G000400	1	0.0371931279809245	0.0369736052174471	0.00067310502177654	1
TraesCAD_scaffold_111573_01G000300	1	0.0302571202510891	0.0303805265913519	0.00194007783586929	1
TraesCAD_scaffold_079761_01G000100	1	0.0311919272484337	0.0313251028512561	0.00139622137750876	1
TraesCAD_scaffold_017567_01G000200	1	0.0328751929394459	0.0329356579340986	0.000690621701018008	1
TraesCAD_scaffold_042006_01G000100	1	0.0340418442886503	0.034217230567696	0.00212849617945647	1
TraesCAD_scaffold_122008_01G000100	1	0.0353004223227497	0.0351174630875403	0.00111013074362033	1
TraesCAD_scaffold_069169_01G000100	1	0.0348582573488431	0.0349017713309338	0.00156486822432342	1
TraesCAD_scaffold_028046_01G000100	1	0.0259798825293999	0.0263447529304775	0.00186799319243192	1
TraesCAD_scaffold_010548_01G000500	1	0.0346991538660222	0.0347504213123036	0.00125786279547409	1
TraesCAD_scaffold_009419_01G000400	1	0.0330853356381521	0.0331634153306089	0.000918338320479507	1
TraesCAD_scaffold_073809_01G000100	1	0.0348244988830953	0.0348293741900832	0.00091772686546362	1
TraesCAD_scaffold_062445_01G000100	1	0.0355459750925165	0.0355694284457571	0.00113355218735673	1
TraesCAD_scaffold_140847_01G000300	1	0.0345267297669891	0.0344073978304359	0.000901969504162415	1
TraesCAD_scaffold_057623_01G000300	1	-0.00132097441944935	-0.0018467517363069	0.00388919156094223	0.68
TraesCAD_scaffold_051479_01G000100	1	0.0242237836846783	0.0242922496834447	0.00275556921057556	1
TraesCAD_scaffold_111477_01G000200	1	0.0365195518216057	0.0362417066943901	0.00127950640254482	1
TraesCAD_scaffold_098437_01G000200	1	0.0321752321277925	0.0322957651419621	0.00167139234742602	1
TraesCAD_scaffold_091708_01G000100	1	0.0277794040981628	0.0278933902482831	0.00202271651961057	1
TraesCAD_scaffold_013787_01G000100	1	0.0333508760003568	0.0334068040903126	0.00153448474579671	1
TraesCAD_scaffold_004067_01G000200	1	0.035386145098643	0.035298605778301	0.00134543500470189	1
TraesCAD_scaffold_053957_01G000200	1	0.0360723053810769	0.0358432123607676	0.00117235649222719	1
TraesCAD_scaffold_030622_01G000100	1	0.0312229282481401	0.0314022405816248	0.00127738125718538	1
TraesCAD_scaffold_005999_01G000100	1	0.0354493070842606	0.0352189323587443	0.0015899477982635	1
TraesCAD_scaffold_075831_01G000300	1	0.0357268261262571	0.0356489600302478	0.000827566652806349	1
TraesCAD_scaffold_012535_01G000100	1	0.0347087681315154	0.0345988104491334	0.00145229341943993	1
TraesCAD_scaffold_065206_01G000200	1	0.0355803598105738	0.0353454415335913	0.0011124683739661	1
