feature	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_000832_01G000100	0.374995824895375	-0.00707297053478842	0.917847293046591	0.49
TraesCAD_scaffold_000839_01G000400	0.2284959365713	0.00487198809353336	0.835593988412808	0.52
TraesCAD_scaffold_125744_01G000100	-0.413018482929457	-0.050766408593788	0.733570770647123	0.57
TraesCAD_scaffold_000888_01G000800	-0.00506562842195664	0.0198265684732415	0.86064409969145	0.5
TraesCAD_scaffold_017030_01G000500	0.743443131004137	0.0462230056400743	0.937843517559302	0.5
TraesCAD_scaffold_018938_01G000100	-0.115481997836326	-0.0245062525274889	0.895525237599771	0.48
TraesCAD_scaffold_000899_01G000300	0.115386035690388	-0.0621834770060567	0.901423834878495	0.46
TraesCAD_scaffold_123937_01G000100	0.310272613337647	-0.00188805520098821	0.943810960774443	0.49
TraesCAD_scaffold_065596_01G000100	-1.95239112715889	0.0590003930623948	0.787083585281897	0.51
TraesCAD_scaffold_000911_01G000500	-0.136062411621163	0.105524436555474	0.900384909085856	0.46
TraesCAD_scaffold_090095_01G000100	-0.64982358967579	0.0887368884009166	0.715066995522048	0.45
TraesCAD_scaffold_000927_01G000100	0.757046304648745	0.0698871207162757	0.833271651420065	0.51
TraesCAD_scaffold_000928_01G000200	0.173181166858344	-0.0954828231800451	0.967555838689048	0.51
TraesCAD_scaffold_000962_01G000200	0.154549378901545	-0.0693150252567717	0.888700338000202	0.5
TraesCAD_scaffold_145775_01G000100	-0.0282105019657046	-0.105428788208352	0.72726939619293	0.56
TraesCAD_scaffold_000972_01G000400	0.0216358710092533	0.148550507073461	0.808887616164366	0.52
TraesCAD_scaffold_000975_01G000100	-0.0961837800521995	0.101297630179035	0.719478909267864	0.46
TraesCAD_scaffold_000984_01G000100	0.454210349198859	-0.0335601226987763	0.793332778081029	0.56
TraesCAD_scaffold_000998_01G000300	0.790475888676974	0.0540430954283326	0.908746358085774	0.47
TraesCAD_scaffold_000998_01G001200	0.923532775728192	-0.0179748917224949	0.799868412212368	0.47
TraesCAD_scaffold_000998_01G001600	-0.163149319159827	-0.0217200059433638	0.860148352015843	0.49
TraesCAD_scaffold_021487_01G000100	-0.343767528674584	-0.0246914416316837	0.81181134477096	0.5
TraesCAD_scaffold_001004_01G000100	0.04158279450198	0.0197072495517232	0.852737160134973	0.47
TraesCAD_scaffold_126523_01G000100	0.0632318431222243	0.0937260010581669	0.831064679318278	0.57
TraesCAD_scaffold_001021_01G000100	0.989796401801802	0.147963951151426	0.830371641604773	0.61
TraesCAD_scaffold_082131_01G000100	-0.571105703646802	0.0823066041566083	0.835808680309772	0.41
TraesCAD_scaffold_077161_01G000100	-0.897503405841331	0.0838841967505792	0.952524620134501	0.44
TraesCAD_scaffold_001033_01G000400	-0.0309481458843616	0.0326534125414273	0.915023250630683	0.49
TraesCAD_scaffold_001048_01G000300	0.910309722647942	0.0249624135073396	0.760288975373655	0.47
TraesCAD_scaffold_005880_01G000200	-0.0464483239026297	-0.00506103851958194	0.836941025490303	0.49
TraesCAD_scaffold_001052_01G000100	-0.782439952156384	0.00672007859151144	0.842846689033554	0.45
TraesCAD_scaffold_001052_01G000200	0.0794182329840873	-0.140349091956279	0.926359775379223	0.43
TraesCAD_scaffold_001053_01G000400	0.0328988021626712	0.106359322810466	0.857124465106681	0.57
TraesCAD_scaffold_001059_01G000100	-0.36658806312738	0.131756167428134	0.81551083960944	0.41
TraesCAD_scaffold_006297_01G000500	0.0317729505303853	0.00328839952718701	0.839046211257067	0.51
TraesCAD_scaffold_001070_01G001000	-0.457795930127736	0.114733554699289	0.766651617941581	0.42
TraesCAD_scaffold_011395_01G000900	-1.58329122348149	0.0346717637972038	0.791831799555886	0.53
TraesCAD_scaffold_001077_01G000100	-0.0681442176884536	0.00888202807968822	0.842750905950155	0.54
TraesCAD_scaffold_001094_01G000200	-0.0743811357661104	-0.0958273345789039	0.785468590094126	0.47
TraesCAD_scaffold_024492_01G000100	-1.27451548094447	0.121129372559077	0.78226355347099	0.43
TraesCAD_scaffold_041632_01G000200	-0.0196300091945702	0.0449195763121289	0.80873866153005	0.51
TraesCAD_scaffold_001114_01G000100	-1.68305664059583	0.00794103724588746	0.85835297157737	0.41
TraesCAD_scaffold_001132_01G000300	-1.04656995665897	0.0200988237388947	0.816710026523884	0.54
TraesCAD_scaffold_001137_01G000700	-1.11394857901164	0.101736616697181	0.850946239202647	0.45
TraesCAD_scaffold_040423_01G000100	-0.580206361918125	-0.0111635571496336	0.828440094515296	0.56
TraesCAD_scaffold_001166_01G000200	-0.693849846864015	0.0616048929734847	0.76583823615811	0.47
TraesCAD_scaffold_001169_01G000300	0.0709920764583483	0.0270205236855122	0.802515910145504	0.5
TraesCAD_scaffold_001171_01G000600	0.340618891056589	0.019216038255955	0.809406989701494	0.54
TraesCAD_scaffold_086867_01G000400	-0.183802368727951	-0.0619192793332188	0.900314227668487	0.55
TraesCAD_scaffold_001181_01G000100	-1.44596054482888	0.109296038138229	0.89998794635014	0.38
TraesCAD_scaffold_145392_01G000100	0.672657412476412	0.028631688845866	0.878670813646093	0.57
TraesCAD_scaffold_001183_01G000200	0.0273031062815033	-0.0517899893971629	0.798546412615925	0.55
TraesCAD_scaffold_037275_01G000100	1.15412825638819	-0.140473645708181	0.783033399480745	0.42
TraesCAD_scaffold_001188_01G000300	0.000416790035732688	-0.00962573945325275	0.741465572246553	0.53
TraesCAD_scaffold_001208_01G000100	0.826174658942886	0.0650714280335699	0.810177248778094	0.53
TraesCAD_scaffold_001226_01G000100	1.18714561260593	-0.0176514659220263	0.853162883388558	0.47
TraesCAD_scaffold_001226_01G000500	0.28922706763015	-0.020351560293033	0.811852424301283	0.57
TraesCAD_scaffold_105068_01G000200	1.81320446802797	-0.048949842706053	0.79857807485808	0.44
TraesCAD_scaffold_024023_01G000200	1.13003546608719	0.147472704843764	0.791361055542711	0.57
TraesCAD_scaffold_001246_01G000100	0.0300591458348602	0.064986576044778	0.716011591531005	0.49
TraesCAD_scaffold_027656_01G000100	1.17728960565526	0.0455166231299098	0.83445134816001	0.53
TraesCAD_scaffold_001260_01G000200	-1.22695088301348	0.0151885565739667	0.797266777815144	0.51
TraesCAD_scaffold_001264_01G000200	-1.12590459047326	-0.0764143188367252	0.884707078794561	0.5
TraesCAD_scaffold_001301_01G001200	0.484737197950505	-0.0248596078919212	0.77174941949144	0.55
TraesCAD_scaffold_001312_01G000400	0.151290699171453	0.011568769273889	1.0655359541188	0.55
TraesCAD_scaffold_001312_01G000500	0.668583892516485	-0.00528716208032727	0.97067164293747	0.51
TraesCAD_scaffold_001330_01G000100	-1.69620471724402	0.0365727022403373	0.846127181590576	0.45
TraesCAD_scaffold_107339_01G000100	-0.207326071933981	0.244221526444146	0.870620113685451	0.37
TraesCAD_scaffold_001338_01G000200	0.269571400891958	0.0764846989432853	0.860095756494593	0.54
TraesCAD_scaffold_089757_01G000100	-0.216318170351541	-0.107499799213748	0.798566954116827	0.55
TraesCAD_scaffold_001342_01G000100	0.0329295989717862	-0.0320879499176489	0.835191868931505	0.49
TraesCAD_scaffold_001342_01G000200	-0.242863780754832	-0.0937423488533335	0.738651843927806	0.54
TraesCAD_scaffold_001342_01G000500	-0.473719823819545	-0.119403570019101	0.890888102852038	0.53
TraesCAD_scaffold_001351_01G000100	-1.14057114986938	-0.128268078364137	0.789362867118148	0.55
TraesCAD_scaffold_081135_01G000100	1.12720800395547	-0.0683974571241786	0.947589938550563	0.51
TraesCAD_scaffold_001357_01G000300	-1.67240223636905	-0.0198698324826275	0.775807545896169	0.44
TraesCAD_scaffold_001357_01G000400	1.28368185940256	0.0550337024539746	0.920517553184965	0.56
TraesCAD_scaffold_001363_01G000100	-0.0223066876866578	-0.0142025620220271	0.731324484834028	0.51
