cell	treatment	time	component	rna_score	rna_lo	rna_hi	prot_score	prot_lo	prot_hi
Trt_t0	Trt	0	4	-0.00545426002174294	-0.0876852942397335	0.0967634511955945	-0.0289835044846906	-0.216214902925923	0.19855732743923
Trt_t6	Trt	6	4	0.0837323466509958	-0.0121687657530931	0.152350064682773	0.230383010466595	-0.0298366374145816	0.38601444948181
Trt_t24	Trt	24	4	-0.146463148221113	-0.299776863976972	0.0502577114100634	-0.409030846509257	-0.750882091670432	0.111378464239417
Trt_t48	Trt	48	4	0.0869902095153402	-0.0490929225373579	0.199593021559568	0.246443267087775	-0.111470524370165	0.504997150967769
Ctrl_t0	Ctrl	0	5	0.0221217778520523	-0.213992850923424	0.209680881443975	0.0534040768009873	-0.459827544037934	0.536478252670738
Ctrl_t6	Ctrl	6	5	-0.133467838819724	-0.283028703489163	0.167263150553699	-0.328827579073175	-0.636424773464234	0.378698448842215
Ctrl_t24	Ctrl	24	5	-0.00432676748689077	-0.211917439391792	0.217640868865675	-0.0439550147053463	-0.58485533304561	0.507775390786802
Ctrl_t48	Ctrl	48	5	0.126523416796132	-0.156233514721897	0.272577573616981	0.349459178430972	-0.347947360255285	0.644881975737587
Trt_t0	Trt	0	5	0.0172233317048807	-0.202646779218944	0.209383933739264	0.0430669091082937	-0.501607459977416	0.453132738785889
Trt_t6	Trt	6	5	-0.0761453059576015	-0.139815527558159	0.0570011986616748	-0.198216589950984	-0.335741690428384	0.124331745508545
Trt_t24	Trt	24	5	0.166968938216864	-0.0779775702244717	0.26541802090301	0.434561045739093	-0.221562028817192	0.637309427556321
Trt_t48	Trt	48	5	-0.118897552305714	-0.174559102505966	0.0362792627321673	-0.30949202634984	-0.428125804367494	0.136816842708913
