feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_000625_01G000300	1	-0.00261072132642462	-0.00243858642033623	0.00127048874973438	0.95
TraesCAD_scaffold_031714_01G000100	1	-0.000372229320535265	-0.000150166863544828	0.00249126234527096	0.52
TraesCAD_scaffold_000627_01G000500	1	-0.0135387881299545	-0.01326328293165	0.00142328487052306	1
TraesCAD_scaffold_033841_01G000200	1	-0.00431740235818175	-0.00410436723067841	0.00144787597014142	1
TraesCAD_scaffold_000647_01G000500	1	0.0114417362934563	0.0114440634812508	0.00234437090412685	1
TraesCAD_scaffold_000647_01G000600	1	0.00317121710650422	0.00313651846455113	0.00069547534164443	1
TraesCAD_scaffold_000653_01G000500	1	-0.00249335899685084	-0.00314456120843611	0.00629465889174611	0.675
TraesCAD_scaffold_000655_01G000500	1	0.0217138953229594	0.0209621643562395	0.00212981605645944	1
TraesCAD_scaffold_136780_01G000100	1	0.00106135414584136	0.00111040681996764	0.00130251578162395	0.82
TraesCAD_scaffold_000661_01G000100	1	-0.00584941740986632	-0.00567033690776987	0.00170050195765891	0.995
TraesCAD_scaffold_000661_01G000400	1	0.00574157691366443	0.00573303872176464	0.00111342728448024	1
TraesCAD_scaffold_000670_01G000200	1	0.0234630064603441	0.0228659376290993	0.0017982599214742	1
TraesCAD_scaffold_000670_01G000300	1	-0.0091843210660323	-0.00888151781874225	0.000979141866195756	1
TraesCAD_scaffold_000670_01G000500	1	0.00138127750718503	0.00120808577017848	0.00203949298056685	0.68
TraesCAD_scaffold_000672_01G000100	1	-0.0228424807182511	-0.0224826149341444	0.00301248202933344	1
TraesCAD_scaffold_000673_01G000100	1	-0.00469577433221734	-0.00423693670951002	0.00483133791920243	0.805
TraesCAD_scaffold_053152_01G000100	1	0.0113417487728017	0.0110908068806154	0.00186160495732921	1
TraesCAD_scaffold_050403_01G000100	1	0.000785781748135772	0.000778804599245496	0.00187635697205292	0.695
TraesCAD_scaffold_000702_01G000200	1	0.0104247668576534	0.010343891455073	0.00274601807788781	1
TraesCAD_scaffold_000704_01G000100	1	-0.00621627645348279	-0.00605855743700623	0.00586836680127596	0.835
TraesCAD_scaffold_047240_01G000400	1	-0.00390629685147308	-0.00375064295074161	0.00151316620603012	1
TraesCAD_scaffold_076996_01G000100	1	0.006091030203683	0.00619010273828983	0.00292376595389181	0.99
TraesCAD_scaffold_030515_01G000100	1	0.00091340064540853	0.000729093915693581	0.00407084455044117	0.52
TraesCAD_scaffold_109897_01G000100	1	-0.0150473506090453	-0.0147819024695477	0.00258231914738963	1
TraesCAD_scaffold_000739_01G000100	1	-0.00459766559524423	-0.00449684688639989	0.000749322053483995	1
TraesCAD_scaffold_000744_01G000100	1	0.00432828251552709	0.00436278175270385	0.00126715151446863	1
TraesCAD_scaffold_000746_01G000300	1	-0.00471841355937298	-0.00469025956519818	0.00242187283592961	0.98
TraesCAD_scaffold_064847_01G000200	1	0.00512481228302897	0.00512143250997296	0.00160946261214988	1
TraesCAD_scaffold_000754_01G000300	1	-0.0105167749207692	-0.0105556736143587	0.00293201867766791	1
TraesCAD_scaffold_006109_01G000100	1	-0.00289505308111613	-0.0025891974443922	0.00234094140013146	0.87
TraesCAD_scaffold_000763_01G000500	1	0.0019833866284108	0.00194509668708219	0.00122736462765395	0.93
TraesCAD_scaffold_065944_01G000100	1	-0.00353106500347449	-0.00319451216098153	0.00218645807088497	0.91
TraesCAD_scaffold_032600_01G000100	1	-0.00284536947629644	-0.00278947199040029	0.00143170243307422	0.985
TraesCAD_scaffold_000772_01G000600	1	-0.00283918150419379	-0.00269911287826863	0.000438279572375936	1
TraesCAD_scaffold_070719_01G000200	1	0.00193870054830039	0.00198093169459062	0.00232729632806513	0.805
TraesCAD_scaffold_066797_01G000200	1	-0.0288516758453978	-0.0283418366290157	0.00401067036026548	1
TraesCAD_scaffold_000796_01G000400	1	0.00254383302510921	0.00259059092157639	0.0010192402251219	0.995
TraesCAD_scaffold_000802_01G000100	1	-0.0123657156810688	-0.0117210793175535	0.00747455909636084	0.935
TraesCAD_scaffold_119973_01G000200	1	-0.00153214155117594	-0.00145083147379554	0.00155604112744626	0.83
TraesCAD_scaffold_000804_01G000100	1	0.00198482501759693	0.00201627615983432	0.00292180686277625	0.77
TraesCAD_scaffold_000824_01G000400	1	0.00186002307674857	0.00185929161693505	0.000548052578985761	1
TraesCAD_scaffold_000832_01G000100	1	0.0108863248240629	0.0104978695560129	0.00116547239096427	1
TraesCAD_scaffold_000839_01G000400	1	-0.00277721596110944	-0.00265399446774476	0.00172205552620577	0.95
TraesCAD_scaffold_125744_01G000100	1	0.0029112351885744	0.00279121045857145	0.00189864024773779	0.945
TraesCAD_scaffold_000888_01G000800	1	0.01483541990678	0.0145522352780441	0.00223845084949031	1
TraesCAD_scaffold_017030_01G000500	1	-0.00684462059077806	-0.00669875451843081	0.00200939482644591	1
TraesCAD_scaffold_018938_01G000100	1	0.0100822161930793	0.00938245053787107	0.00381298616759635	1
