"gene_id","amplitude","regulated","lrt_fdr","archetype","distance","d_pca2","d_umap","correlation","distance_flag","ml_r2","ml_flag","kinetics_flag","convergence","convergence_label"
"TraesCAD_scaffold_063877_01G000100",0.766216262371745,FALSE,0.923369869066842,"kinetic_lag",5.80495574222067,5.38745231001726,2.86304793009075,0.533296691982162,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_063917_01G000200",-13.2986505871107,TRUE,0.0116166384080967,"anticorrelated",1.17658353881676,0.726599976171717,2.63971444189252,-0.0229786050420719,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_064130_01G000200",14.8284106311733,FALSE,0.897355552967096,"concordant",8.29592626911881,7.32172232986705,5.04648885685235,-0.139278717794349,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_064227_01G000100",-0.396404441132082,TRUE,0.0286862255461998,"anticorrelated",3.90567138387466,3.36886678957972,4.91220283751642,0.21600226759175,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_078046_01G000300",-9.08150690998258,TRUE,1.51456919529481e-19,"anticorrelated",3.87444801738999,0.721242062525107,1.94770250385702,0.206997499917862,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_080896_01G000100",1.6953594963271,FALSE,0.755696140210448,"concordant",4.75945956375582,4.63700948621525,6.98381888870048,-0.670621202430462,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_064456_01G000100",0.441807069222884,FALSE,0.969742342742665,"kinetics_limited",4.54512187297827,4.39997946142295,5.87396709359924,0.517016755647915,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_139445_01G000100",-27.8127850798283,FALSE,0.480878442995771,"kinetics_limited",3.96116198411451,2.55372522657339,5.47603025478346,0.463589273028233,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_064501_01G000100",-54.0732281211933,FALSE,0.333203949318954,"kinetics_limited",5.53620630428631,5.07745167660111,5.44735519180304,-0.605957511783741,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_105089_01G000100",-0.0794174585451734,FALSE,0.866020182964861,"kinetics_limited",4.05931921031441,3.47814036978607,8.08808691258069,0.324805694270821,1,NA,0,0,1,"1 method flags"
