feature	loading	boot_mean	boot_sd	stability
TraesNOR1B03G00242170	0.457596073600032	-0.0826501973972821	0.849727577760422	0.42
TraesNOR1B03G00242240	0.0313352199878332	0.0675362398922284	0.813487830233499	0.55
TraesNOR1B03G00242470	0.307184670135352	0.0271893259838629	0.839593300241592	0.45
TraesNOR1B03G00242860	-0.054111669914547	0.0953309250875743	0.849738655578551	0.42
TraesNOR1B03G00244310	0.633106152698957	-0.222656741312434	0.823193620853448	0.36
TraesNOR1B03G00248780	0.163809633148925	0.0465267689205254	0.745217201843872	0.49
TraesNOR1B03G00249260	-0.784332043126294	0.0721390757294068	0.771076574347803	0.44
TraesNOR1B03G00249330	-1.20756429304193	0.0223925096644156	0.854498016873978	0.5
TraesNOR1B03G00249890	-1.05750665420875	-0.0162210379716411	0.836773712850436	0.45
TraesNOR1B03G00250480	0.0322034587563485	-0.0123961486128377	0.878013321201919	0.51
TraesNOR1B03G00254860	0.801639233809961	0.00871662363715197	0.833632389318052	0.51
TraesNOR1B03G00256420	1.24953842005473	-0.0189651636006563	0.691504776959399	0.46
TraesNOR1B03G00259460	-0.477447697108115	-0.0402686471845964	0.811127761076804	0.52
TraesNOR1B03G00259750	-0.919872856525529	-0.208811872997972	0.852518959696682	0.57
TraesNOR1B03G00262310	-0.465380786476184	-0.0616102379372486	0.859530705753018	0.54
TraesNOR1B03G00262570	-0.414436577651815	0.0718020731550761	0.891246617171397	0.48
TraesNOR1B03G00268560	0.826790762569568	-0.0328699340806753	0.863572746345627	0.47
TraesNOR1B03G00270510	-1.18852688182721	0.0353747563366438	0.787658500511129	0.52
TraesNOR1B03G00278220	-0.202100293567608	0.0812226652620316	0.801187764196522	0.48
TraesNOR1B03G00282450	0.836258029412768	0.00138853363700522	0.952276476593363	0.56
TraesNOR1B03G00282750	0.71493000279541	-0.0246747878096563	0.953755399226408	0.44
TraesNOR1B03G00282880	-0.41506337986827	0.0207959048667326	0.799183881544751	0.53
TraesNOR1B03G00285520	-0.202494377457141	0.0376228702307542	0.731089779047491	0.51
TraesNOR1B03G00285610	-0.328822718377468	-0.0894954008861869	0.920184020131278	0.52
TraesNOR1B03G00285760	0.252109137506014	0.122397172448891	0.872168308775123	0.55
TraesNOR1B03G00285810	0.0473716774726817	-0.0194632436604232	0.89384943057238	0.48
TraesNOR1B03G00287620	-0.0887100886868066	0.03970127790612	0.927057393646011	0.47
TraesNOR1B03G00287920	-0.315441480410934	-0.0428102080729549	0.727216961361184	0.54
TraesNOR1B03G00288540	-0.637264391889883	0.0299959261946368	0.792159873704981	0.47
TraesNOR1B03G00288860	0.0220978015642348	0.0507002614746275	0.761187968159977	0.5
TraesNOR1B03G00288930	0.515885214728596	-0.0285689736538035	0.812021962071997	0.46
TraesNOR1B03G00289280	-2.0358919438396	-0.139371722200858	0.824592766063718	0.54
TraesNOR1B03G00289380	0.669749488187278	-0.0181629381780743	0.816229939012502	0.48
TraesNOR1B03G00291340	-0.0136595343279854	0.144559377651732	0.870402232840358	0.42
TraesNOR1B03G00293230	0.0366561528255199	0.0542342203265825	0.884410828673002	0.55
TraesNOR1B03G00293540	1.08586623366554	0.0171175003512081	0.815033398213149	0.5
TraesNOR1B03G00293740	0.498022946431519	0.144266551630955	0.750150783936305	0.59
TraesNOR1B03G00294300	0.0879518645008695	0.263832818258893	0.745438082251255	0.66
TraesNOR1B03G00294430	0.0673500421109956	0.174868404078504	0.878987297864467	0.56
TraesNOR1B03G00295520	-0.973418097335764	-0.0330135189358074	0.863890213890419	0.49
TraesNOR1B03G00296490	0.027580893443009	0.0125510743143138	0.879852596371098	0.52
TraesNOR1B03G00296960	0.00326733571989011	-0.0684991594839673	0.947412325813097	0.47
TraesNOR1B03G00297120	0.429086620399568	-0.0810651067576449	0.827705363792599	0.47
TraesNOR1B03G00297520	2.12193814400852	-0.0977331931161414	0.848577217569894	0.45
TraesNOR1B03G00298170	-0.113860967286749	-0.024567824117494	0.91550250827371	0.48
TraesNOR1B03G00298330	0.0263334338803007	-0.0675135735528212	0.800634006228876	0.46
TraesNOR1B03G00298860	-0.819238412104219	-0.0422741738597105	0.71773592059103	0.53
TraesNOR1B03G00299390	0.0278009652626519	0.0659010454391935	0.874145175240585	0.5
TraesNOR1B03G00304940	0.0326203749305547	0.0307899703684336	0.781647691815107	0.52
TraesNOR1B03G00306240	-0.284379723897485	0.0262346583232849	0.774453062846202	0.51
TraesNOR1B03G00306250	0.727633851675101	0.0506731565030988	0.741238077303956	0.54
TraesNOR1B03G00307410	0.340136479140647	-0.16156254273307	0.859220969362589	0.46
TraesNOR1B03G00307610	0.322310858957354	0.0423657814730263	0.929201438370042	0.5
TraesNOR1B03G00307660	-0.415050504731406	0.0440575825403535	0.861749593088709	0.54
TraesNOR1B03G00308430	0.0612716518700946	0.0205347383809736	0.880048492353943	0.51
TraesNOR1B03G00310070	0.963710686328895	-0.0790444903316988	0.680020126566036	0.47
TraesNOR1B03G00310270	1.48824082276975	0.0244810272306242	0.800033700934115	0.47
TraesNOR1B03G00311520	0.0115015291311497	-0.0298840596311925	0.802901319671596	0.53
TraesNOR1B03G00312280	-0.0374449286251213	-0.0907566318960709	0.850105858835435	0.53
TraesNOR1B03G00314010	0.492798772393502	-0.0724155624575082	0.748997630620083	0.47
TraesNOR1B03G00315490	-1.04624436651991	-0.0990628576050321	0.817336070127791	0.53
TraesNOR1B03G00315880	0.996528434693916	-0.0635129555435227	0.821653386511046	0.45
