pathway	pval	padj	log2err	ES	NES	size	leadingEdge
misc.peroxidases	2.80646850656836e-05	0.00225836819903191	0.575610261071129	0.56081751130885	1.91299772257542	37	traescad_scaffold_002505_01g000200;traescad_scaffold_001342_01g000100;traescad_scaffold_001357_01g000400;traescad_scaffold_009923_01g000100;traescad_scaffold_072376_01g000300;traescad_scaffold_001342_01g000500;traescad_scaffold_001357_01g000300;traescad_scaffold_009023_01g000100;traescad_scaffold_043544_01g000200;traescad_scaffold_037061_01g000200;traescad_scaffold_054974_01g000300;traescad_scaffold_105690_01g000100;traescad_scaffold_013787_01g000100;traescad_scaffold_053598_01g000300;traescad_scaffold_021759_01g000200;traescad_scaffold_034368_01g000100;traescad_scaffold_138071_01g000100;traescad_scaffold_034368_01g000400;traescad_scaffold_023400_01g000200;traescad_scaffold_013957_01g000400;traescad_scaffold_089659_01g000500;traescad_scaffold_027941_01g000500;traescad_scaffold_022122_01g000100;traescad_scaffold_009023_01g000200;traescad_scaffold_012019_01g000200;traescad_scaffold_054974_01g000200;traescad_scaffold_053873_01g000100;traescad_scaffold_006479_01g000100
misc.plastocyanin-like	0.011582997534153	0.143960112210187	0.380730400722792	0.651672997470095	1.7476041724726	8	traescad_scaffold_078281_01g000100;traescad_scaffold_005404_01g000300;traescad_scaffold_050822_01g000200;traescad_scaffold_026067_01g000200;traescad_scaffold_080062_01g000100;traescad_scaffold_050586_01g000200;traescad_scaffold_133082_01g000100
misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	0.408591408591409	0.982697302697303	0.0549073703290958	0.388921510424457	1.09193417677789	10	traescad_scaffold_009101_01g000300;traescad_scaffold_082647_01g000200;traescad_scaffold_010053_01g000100;traescad_scaffold_098987_01g000300;traescad_scaffold_014444_01g000100;traescad_scaffold_073813_01g000100;traescad_scaffold_003747_01g000700;traescad_scaffold_043046_01g000100;traescad_scaffold_103057_01g000200
misc.rhodanese	0.496503496503497	1	0.0459538081039063	0.392158868680144	1.02250526878536	7	traescad_scaffold_031410_01g000500;traescad_scaffold_083180_01g000100;traescad_scaffold_020744_01g000200
misc.short chain dehydrogenase/reductase (SDR)	0.486513486513487	1	0.0468819856878333	0.34509063060536	1.01839285811731	14	traescad_scaffold_041454_01g000200;traescad_scaffold_034952_01g000100;traescad_scaffold_030431_01g000200;traescad_scaffold_030228_01g000300;traescad_scaffold_016992_01g000200
mitochondrial electron transport / ATP synthesis.F1-ATPase	0.993006993006993	1	0.00382852089890286	0.0597631012203876	0.160267872779928	8	traescad_scaffold_038882_01g000100;traescad_scaffold_102775_01g000200;traescad_scaffold_051664_01g000100;traescad_scaffold_054661_01g000100;traescad_scaffold_004044_01g000100;traescad_scaffold_010760_01g000200;traescad_scaffold_029735_01g000100;traescad_scaffold_025833_01g000400
mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear	1	1	0	0.0271241243039338	0.0790724305147552	13	traescad_scaffold_076444_01g000300;traescad_scaffold_072198_01g000100;traescad_scaffold_085533_01g000100;traescad_scaffold_053692_01g000100;traescad_scaffold_039340_01g000100;traescad_scaffold_002802_01g000200;traescad_scaffold_050081_01g000200;traescad_scaffold_055975_01g000400;traescad_scaffold_017793_01g000100;traescad_scaffold_002853_01g000100;traescad_scaffold_058561_01g000200;traescad_scaffold_066746_01g000100
mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	0.995004995004995	1	0.00323243877654383	0.0339074273412271	0.086582568733969	6	traescad_scaffold_173620_01g000100;traescad_scaffold_046226_01g000300;traescad_scaffold_102474_01g000100;traescad_scaffold_008889_01g000200;traescad_scaffold_061983_01g000200;traescad_scaffold_133347_01g000200
not assigned.no ontology.glycine rich proteins	0.634365634365634	1	0.0346410167413251	0.347861641478966	0.888264219522292	6	traescad_scaffold_092322_01g000100;traescad_scaffold_013997_01g000100;traescad_scaffold_031937_01g000100
not assigned.no ontology.hydroxyproline rich proteins	0.921078921078921	1	0.0133546284394486	0.191243342087975	0.570685262715267	15	traescad_scaffold_085800_01g000100;traescad_scaffold_034938_01g000300;traescad_scaffold_077510_01g000100;traescad_scaffold_036612_01g000200;traescad_scaffold_038971_01g000400;traescad_scaffold_023570_01g000300;traescad_scaffold_078205_01g000500;traescad_scaffold_012663_01g000200;traescad_scaffold_013135_01g000700;traescad_scaffold_065458_01g000100;traescad_scaffold_004113_01g000200;traescad_scaffold_014616_01g000100;traescad_scaffold_009594_01g000100;traescad_scaffold_075314_01g000400
not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	0.0138248394433934	0.150345128946903	0.380730400722792	0.493979538883062	1.5913406564759	24	traescad_scaffold_137161_01g000200;traescad_scaffold_039356_01g000100;traescad_scaffold_058063_01g000100;traescad_scaffold_054200_01g000100;traescad_scaffold_070874_01g000200;traescad_scaffold_086508_01g000100;traescad_scaffold_078046_01g000300;traescad_scaffold_000542_01g000200;traescad_scaffold_020690_01g000300;traescad_scaffold_010118_01g000200;traescad_scaffold_118142_01g000100;traescad_scaffold_018690_01g000300;traescad_scaffold_009095_01g000100;traescad_scaffold_128283_01g000200;traescad_scaffold_030107_01g000100;traescad_scaffold_040088_01g000300;traescad_scaffold_099759_01g000100;traescad_scaffold_006116_01g000300
not assigned.no ontology.tetratricopeptide repeat (TPR)	0.67032967032967	1	0.0319980480340634	0.304208760981505	0.836748586122272	9	traescad_scaffold_028669_01g000100;traescad_scaffold_160902_01g000100;traescad_scaffold_115257_01g000100;traescad_scaffold_058840_01g000100;traescad_scaffold_032808_01g000200
nucleotide metabolism.degradation	0.367632367632368	0.95226512617817	0.0598603117764473	0.414218752972376	1.13933916556742	9	traescad_scaffold_127211_01g000100;traescad_scaffold_043248_01g000200;traescad_scaffold_047963_01g000300;traescad_scaffold_034809_01g000400;traescad_scaffold_071389_01g000100;traescad_scaffold_078662_01g000300;traescad_scaffold_025068_01g000200
nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	0.661338661338661	1	0.0326513265618535	0.32406949967489	0.844970743580148	7	traescad_scaffold_010459_01g000100;traescad_scaffold_093704_01g000100;traescad_scaffold_070442_01g000200
protein.aa activation	0.507492507492508	1	0.0449543067640062	0.413869913484135	1.01558590152053	5	traescad_scaffold_065050_01g000100;traescad_scaffold_063099_01g000200
protein.aa activation.alanine-tRNA ligase	0.831168831168831	1	0.020562605901185	0.242847083752817	0.620109691875883	6	traescad_scaffold_119774_01g000100;traescad_scaffold_062404_01g000400;traescad_scaffold_127625_01g000100;traescad_scaffold_045856_01g000200
protein.aa activation.glycine-tRNA ligase	0.173826173826174	0.63011988011988	0.0995791200495904	0.517655568942765	1.34972223997254	7	traescad_scaffold_157295_01g000100;traescad_scaffold_018292_01g000200;traescad_scaffold_072335_01g000100
protein.assembly and cofactor ligation	0.99000999000999	1	0.00458288223817775	0.115812402095954	0.349126166587555	16	traescad_scaffold_024040_01g000100;traescad_scaffold_050623_01g000100;traescad_scaffold_066904_01g000200;traescad_scaffold_066057_01g000400;traescad_scaffold_037800_01g000200;traescad_scaffold_002159_01g000400;traescad_scaffold_055634_01g000100;traescad_scaffold_284614_01g000100;traescad_scaffold_124464_01g000100;traescad_scaffold_035226_01g000300;traescad_scaffold_137899_01g000200;traescad_scaffold_014849_01g000300;traescad_scaffold_019107_01g000600;traescad_scaffold_013478_01g000200;traescad_scaffold_005149_01g000200
