pathway	pval	padj	log2err	ES	NES	size	leadingEdge
misc.peroxidases	5.5768788505753e-07	3.12305215632217e-05	0.659444398037935	0.654698687070589	2.14550025835907	33	traesnor2d03g01131120;traesnor2b03g00876620;traesnor2b03g00876790;traesnor3d03g02022770;traesnor2b03g01091350;traesnor5d03g03164790;traesnor5b03g02935040;traesnor3a03g01540710;traesnor3a03g01466950;traesnor2d03g01131260;traesnor2d03g01320670;traesnor6b03g03471810;traesnor2d03g01131270;traesnor2a03g00821930;traesnor6d03g03695880;traesnor2a03g00822570;traesnor1b03g00236370;traesnor6b03g03471840;traesnor6b03g03471700;traesnor7d03g04474430;traesnor2a03g00620670;traesnor2d03g01320700;traesnor7a03g03873020;traesnor7d03g04495130;traesnor2d03g01320740;traesnor6d03g03696010;traesnor7a03g04028270;traesnor7d03g04465120
misc.plastocyanin-like	0.172827172827173	0.724543748933993	0.0999276973731092	0.516963309910767	1.37965032649991	8	traesnor4a03g02041510;traesnor7a03g04038580;traesnor4b03g02430340;traesnor2b03g00917810;traesnor5a03g02703680;traesnor2d03g01164480
misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	0.176823176823177	0.724543748933993	0.0985499803531691	0.514492941752983	1.37305751000768	8	traesnor3b03g01755880;traesnor2d03g01266830;traesnor1d03g00484900;traesnor1b03g00288540;traesnor4b03g02421880;traesnor4b03g02422220;traesnor6d03g03808210
misc.rhodanese	0.273726273726274	0.884346422807961	0.0743625384422526	0.516083501969518	1.27530881468577	5	traesnor3a03g01497550;traesnor3d03g01978930
misc.short chain dehydrogenase/reductase (SDR)	0.331668331668332	0.914956011730205	0.0647943366000727	0.380630793693054	1.14258057192504	17	traesnor1d03g00550860;traesnor4d03g02432110;traesnor4d03g02455460;traesnor7a03g04004930;traesnor2b03g00871990;traesnor1b03g00394470;traesnor2a03g00754570;traesnor1b03g00379730;traesnor2b03g01065340;traesnor4a03g02140840;traesnor4d03g02432100;traesnor4a03g02169710;traesnor6b03g03633310
mitochondrial electron transport / ATP synthesis.F1-ATPase	0.971028971028971	1	0.0078803141868031	0.106359144423983	0.283846891099736	8	traesnor1b03g00256420;traesnor6d03g03793610;traesnor2d03g01189030;traesnor1a03g00159680;traesnor6a03g03399590;traesnor2d03g01216460;traesnor3d03g01914740;traesnor3d03g01943530
mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear	1	1	0	0.0132115795609092	0.0375037772112634	12	traesnor2d03g01183400;traesnor5d03g03218040;traesnor7d03g04441920;traesnor4a03g02159930;traesnor6a03g03440160;traesnor5a03g02789380;traesnor4a03g02074370;traesnor1d03g00498950;traesnor2d03g01207010;traesnor4b03g02256190;traesnor3d03g01941970
mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	0.99000999000999	1	0.00458288223817775	0.0497989052567949	0.126261955130789	6	traesnor5d03g03256150;traesnor2d03g01151430;traesnor3d03g01916340;traesnor2a03g00641060;traesnor7a03g04035400;traesnor2b03g00902960
not assigned.no ontology.C2 domain-containing protein	0.828171828171828	1	0.0207818350435559	0.246176337052305	0.624164436203524	6	traesnor6d03g03710630;traesnor3a03g01485980;traesnor2b03g00943160;traesnor2d03g01246420;traesnor1d03g00505340;traesnor3d03g01831510
not assigned.no ontology.hydroxyproline rich proteins	0.687312687312687	1	0.0307752597613667	0.298674776227372	0.83734895446454	11	traesnor4a03g02078550;traesnor3a03g01508160;traesnor4b03g02337780;traesnor3b03g01762620;traesnor4d03g02513230;traesnor1a03g00082100;traesnor1b03g00396970;traesnor1a03g00173090;traesnor1d03g00575260
