"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesNOR6D03G03796250",3.61791966686986,FALSE,TRUE,0.895717621144583,0.744197129891921,"kinetics_limited",432,FALSE
"TraesNOR6D03G03796530",-1.42496195502631,FALSE,FALSE,0.664813442101838,0.396001494006387,"unchanged",12,FALSE
"TraesNOR6D03G03796880",5.04537146526197,FALSE,TRUE,0.894333817172949,0.741549277402943,"kinetic_lag",432,TRUE
"TraesNOR6D03G03796910",1.46308734827304,FALSE,TRUE,0.70214809113023,0.436749995044952,"concordant",17.2496981289927,TRUE
"TraesNOR6D03G03797430",3.31960095677872,FALSE,TRUE,0.737909010156182,0.486567681051241,"kinetics_limited",432,FALSE
"TraesNOR6D03G03797470",-0.0568917361190892,FALSE,TRUE,0.931175087700468,0.835799836701848,"kinetics_limited",12,FALSE
"TraesNOR6D03G03798020",8.16519991630987,TRUE,TRUE,6.93871941274452e-84,9.41481602814724e-87,"amplified",12,TRUE
"TraesNOR6D03G03798080",-29.2735831747573,FALSE,FALSE,0.427025526744953,0.203621398680478,"unchanged",432,FALSE
"TraesNOR6D03G03798260",1.5779598223414,FALSE,TRUE,0.988511731650429,0.975771854067291,"kinetics_limited",432,FALSE
"TraesNOR6D03G03799070",-0.197270547724179,FALSE,FALSE,0.964197888435904,0.902092569122902,"unchanged",12,FALSE
"TraesNOR6D03G03799340",4.69117074647025,TRUE,TRUE,0.00060132841846999,7.66958905511249e-05,"amplified",12,TRUE
"TraesNOR6D03G03799810",0.501291652859969,FALSE,TRUE,0.686023921761782,0.420071635752175,"kinetic_lag",12,TRUE
"TraesNOR6D03G03800060",-1.83234153588988,FALSE,FALSE,0.222529862524458,0.0860960662141534,"unchanged",23.6963644609556,FALSE
"TraesNOR6D03G03800800",0.919569789107717,FALSE,FALSE,0.98491158337347,0.963587303018299,"protein_only",12,TRUE
"TraesNOR6D03G03800960",-37.9972405645462,TRUE,TRUE,9.63536199435986e-08,6.46217338640921e-09,"anticorrelated",432,FALSE
"TraesNOR6D03G03801670",-15.9464553564663,FALSE,FALSE,5.41487857545374e-08,3.55813885845865e-09,"protein_only",12,FALSE
"TraesNOR6D03G03801680",4.96551967424721,TRUE,TRUE,0.0188051832163537,0.00400963394804982,"amplified",39.0285187748384,TRUE
