"uid","feature","block","cluster","comp","sign"
"prot__TraesCAD_scaffold_017675_01G000100","TraesCAD_scaffold_017675_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_038677_01G000300","TraesCAD_scaffold_038677_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_041779_01G000100","TraesCAD_scaffold_041779_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017769_01G000300","TraesCAD_scaffold_017769_01G000300","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_017811_01G000200","TraesCAD_scaffold_017811_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017928_01G000100","TraesCAD_scaffold_017928_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_094743_01G000100","TraesCAD_scaffold_094743_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017950_01G000100","TraesCAD_scaffold_017950_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_054741_01G000600","TraesCAD_scaffold_054741_01G000600","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_023645_01G000100","TraesCAD_scaffold_023645_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017955_01G000300","TraesCAD_scaffold_017955_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017964_01G000100","TraesCAD_scaffold_017964_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_083938_01G000100","TraesCAD_scaffold_083938_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_040088_01G000300","TraesCAD_scaffold_040088_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017991_01G000300","TraesCAD_scaffold_017991_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_035254_01G000400","TraesCAD_scaffold_035254_01G000400","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018014_01G000100","TraesCAD_scaffold_018014_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_065987_01G000200","TraesCAD_scaffold_065987_01G000200","protein","C1+",1,"positive"
