"uid","feature","block","cluster","comp","sign"
"prot__TraesNOR5B03G02935370","TraesNOR5B03G02935370","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02935950","TraesNOR5B03G02935950","protein","C1+",1,"positive"
"prot__TraesNOR5B03G02940460","TraesNOR5B03G02940460","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02941760","TraesNOR5B03G02941760","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02943970","TraesNOR5B03G02943970","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02945490","TraesNOR5B03G02945490","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02948440","TraesNOR5B03G02948440","protein","C2-",2,"negative"
"prot__TraesNOR5B03G02949880","TraesNOR5B03G02949880","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02950590","TraesNOR5B03G02950590","protein","C1+",1,"positive"
"prot__TraesNOR5B03G02952760","TraesNOR5B03G02952760","protein","C2-",2,"negative"
"prot__TraesNOR5B03G02954120","TraesNOR5B03G02954120","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02959070","TraesNOR5B03G02959070","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02963650","TraesNOR5B03G02963650","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02966940","TraesNOR5B03G02966940","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02967270","TraesNOR5B03G02967270","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02967380","TraesNOR5B03G02967380","protein","C2-",2,"negative"
"prot__TraesNOR5B03G02967950","TraesNOR5B03G02967950","protein","C2+",2,"positive"
